codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A803,06/03/2018,23,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,04,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,05,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,06,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,07,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,08,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,09,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,10,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,11,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,12,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,13,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,14,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,15,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,16,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,17,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,18,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,00,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,19,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,20,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,21,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,22,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,01,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,02,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,06/03/2018,03,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////,////
A803,07/03/2018,04,19.0,19.9,19.0,////,////,////,////,////,////,1002.2,1002.3,1002.0,1.5,80,4.6,-3.54,0.0
A803,07/03/2018,05,17.9,19.0,17.9,////,////,////,////,////,////,1001.9,1002.2,1001.9,1.1,91,3.7,-3.54,0.0
A803,07/03/2018,06,17.9,17.9,17.5,////,////,////,////,////,////,1002.1,1002.1,1001.9,1.1,113,2.8,-3.47,0.0
A803,07/03/2018,07,16.8,17.9,16.8,////,////,////,////,////,////,1002.0,1002.2,1001.9,0.6,107,2.9,-3.48,0.0
A803,07/03/2018,08,16.6,17.0,16.5,////,////,////,////,////,////,1002.6,1002.6,1002.0,1.7,142,3.0,-3.50,0.0
A803,07/03/2018,09,16.1,16.6,16.1,////,////,////,////,////,////,1003.0,1003.0,1002.5,1.4,113,3.5,-3.54,0.0
A803,07/03/2018,10,15.2,16.1,15.1,////,////,////,////,////,////,1003.6,1003.6,1003.0,1.2,145,3.5,53.16,0.0
A803,07/03/2018,11,17.8,17.9,15.2,////,////,////,////,////,////,1004.2,1004.2,1003.6,1.2,97,2.9,619.1,0.0
A803,07/03/2018,12,19.6,19.6,17.8,////,////,////,////,////,////,1004.4,1004.4,1004.2,1.3,67,3.8,1449.,0.0
A803,07/03/2018,13,21.1,21.3,19.5,////,////,////,////,////,////,1004.6,1004.7,1004.4,1.7,145,3.7,2228.,0.0
A803,07/03/2018,00,22.6,23.7,22.6,////,////,////,////,////,////,1001.1,1001.1,1000.5,1.1,108,2.7,-3.54,0.0
A803,07/03/2018,14,23.0,23.1,21.0,////,////,////,////,////,////,1004.4,1004.7,1004.4,2.0,113,6.7,2828.,0.0
A803,07/03/2018,23,20.4,22.9,20.4,////,////,////,////,////,////,1002.1,1002.1,1001.8,1.2,41,2.0,8.256,0.0
A803,07/03/2018,15,23.4,23.6,22.9,////,////,////,////,////,////,1003.6,1004.4,1003.6,2.4,165,5.8,3261.,0.0
A803,07/03/2018,16,23.9,24.5,23.4,////,////,////,////,////,////,1003.1,1003.6,1003.1,2.6,216,5.9,3442.,0.0
A803,07/03/2018,17,25.1,25.3,23.9,////,////,////,////,////,////,1002.6,1003.1,1002.6,2.3,229,5.3,3375.,0.0
A803,07/03/2018,01,21.6,22.6,21.6,////,////,////,////,////,////,1001.6,1001.6,1001.1,1.7,128,3.8,-3.54,0.0
A803,07/03/2018,18,26.1,26.1,24.9,////,////,////,////,////,////,1002.0,1002.6,1001.9,1.5,130,5.2,3060.,0.0
A803,07/03/2018,19,26.5,26.5,25.3,////,////,////,////,////,////,1001.5,1001.9,1001.5,1.7,126,5.7,2546.,0.0
A803,07/03/2018,02,20.9,21.6,20.9,////,////,////,////,////,////,1002.1,1002.1,1001.6,1.7,122,5.6,-3.54,0.0
A803,07/03/2018,20,26.3,26.6,25.9,////,////,////,////,////,////,1001.5,1001.5,1001.4,1.7,114,5.4,1856.,0.0
A803,07/03/2018,21,25.3,26.4,25.3,////,////,////,////,////,////,1001.7,1001.7,1001.5,2.0,67,4.1,1024.,0.0
A803,07/03/2018,22,22.9,25.4,22.9,////,////,////,////,////,////,1001.8,1001.8,1001.6,1.1,49,3.7,181.2,0.0
A803,07/03/2018,03,19.9,20.9,19.9,////,////,////,////,////,////,1002.3,1002.4,1002.1,1.7,112,5.6,-3.54,0.0
A803,08/03/2018,01,16.3,17.2,16.2,////,////,////,////,////,////,1002.0,1002.2,1002.0,0.5,169,1.0,-3.54,0.0
A803,08/03/2018,14,24.3,24.3,22.1,////,////,////,////,////,////,1003.5,1004.0,1003.5,2.6,117,5.2,2810.,0.0
A803,08/03/2018,15,24.8,25.4,23.9,////,////,////,////,////,////,1002.8,1003.5,1002.8,3.1,128,7.3,3223.,0.0
A803,08/03/2018,16,26.3,26.3,24.8,////,////,////,////,////,////,1002.2,1002.8,1002.2,2.7,117,7.4,3397.,0.0
