codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao,vento_rajada,radiacao,precipitacao
A803,29/05/2018,04,22.0,22.4,21.8,,,,,,,1007.1,1007.1,1006.9,4.4,21,9.9,25.90,0.0
A803,29/05/2018,05,22.1,22.7,21.9,,,,,,,1007.7,1007.7,1007.1,3.6,360,8.1,-2.32,0.0
A803,29/05/2018,06,22.7,22.9,22.1,,,,,,,1007.8,1007.9,1007.7,3.2,10,8.1,-3.54,0.0
A803,29/05/2018,07,22.4,22.7,22.1,,,,,,,1007.6,1007.8,1007.6,3.5,354,8.5,-3.54,0.0
A803,29/05/2018,08,20.5,22.4,20.4,,,,,,,1007.5,1007.6,1007.4,2.8,39,9.5,-3.54,0.0
A803,29/05/2018,09,19.8,21.3,19.8,,,,,,,1007.5,1007.6,1007.4,3.1,42,7.1,-3.54,0.0
A803,29/05/2018,10,19.6,20.1,19.5,,,,,,,1007.7,1007.7,1007.4,3.3,38,6.2,-3.54,0.0
A803,29/05/2018,11,19.6,19.9,19.5,,,,,,,1008.4,1008.4,1007.7,4.7,21,8.9,107.8,0.0
A803,29/05/2018,12,20.2,20.2,19.6,,,,,,,1008.8,1008.8,1008.4,5.0,17,9.1,591.6,0.0
A803,29/05/2018,13,21.5,21.5,20.2,,,,,,,1008.9,1008.9,1008.7,4.2,1,8.5,1203.,0.0
A803,29/05/2018,14,23.0,23.1,21.5,,,,,,,1008.7,1008.9,1008.6,3.5,20,9.8,1725.,0.0
A803,29/05/2018,15,25.1,25.1,23.0,,,,,,,1007.6,1008.7,1007.6,2.7,59,7.2,2015.,0.0
A803,29/05/2018,16,25.6,26.4,25.1,,,,,,,1006.5,1007.6,1006.5,4.5,17,7.9,2118.,0.0
A803,29/05/2018,17,25.8,25.9,25.5,,,,,,,1005.8,1006.5,1005.7,3.5,29,7.5,1979.,0.0
A803,29/05/2018,18,26.2,26.3,25.7,,,,,,,1005.1,1005.8,1005.1,3.2,39,6.5,1634.,0.0
A803,29/05/2018,19,26.0,26.4,26.0,,,,,,,1004.7,1005.1,1004.7,3.3,69,6.0,1110.,0.0
A803,29/05/2018,20,24.7,26.1,24.7,,,,,,,1004.7,1004.8,1004.7,2.0,85,5.5,508.9,0.0
A803,29/05/2018,21,22.1,24.7,22.1,,,,,,,1004.7,1004.8,1004.7,0.9,106,3.8,38.68,0.0
A803,29/05/2018,22,20.5,22.2,20.5,,,,,,,1005.0,1005.0,1004.7,1.2,101,3.0,-3.44,0.0
A803,29/05/2018,23,17.8,20.4,17.8,,,,,,,1005.3,1005.3,1005.0,0.5,84,2.3,-3.54,0.0
A803,29/05/2018,00,23.1,23.2,22.8,,,,,,,1006.2,1006.2,1005.9,2.5,36,5.6,-3.54,0.0
A803,29/05/2018,01,22.1,23.2,22.1,,,,,,,1006.4,1006.4,1006.2,2.6,34,5.9,24.14,0.0
A803,29/05/2018,02,21.6,22.1,21.6,,,,,,,1007.0,1007.0,1006.4,2.9,42,6.4,19.54,0.0
A803,29/05/2018,03,22.2,22.2,21.3,,,,,,,1007.0,1007.1,1007.0,4.1,15,8.5,25.60,0.0
